GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SmartMove Core Engine - Refactored,com.smartmove.builder,VehicleBuilder.VehicleType,0,21,0,0,0,2,0,1,0,1
SmartMove Core Engine - Refactored,com.smartmove.builder,RentalBuilder,5,53,1,3,0,13,1,7,0,6
SmartMove Core Engine - Refactored,com.smartmove.builder,TelemetryDataBuilder,13,74,0,2,5,20,2,9,2,8
SmartMove Core Engine - Refactored,com.smartmove.builder,VehicleBuilder,25,145,2,9,6,35,5,16,3,12
SmartMove Core Engine - Refactored,com.smartmove.events,TheftAlarmEvent,3,7,0,0,1,3,1,1,1,1
SmartMove Core Engine - Refactored,com.smartmove.events,PaymentProcessedEvent,34,0,0,0,12,0,6,0,6,0
SmartMove Core Engine - Refactored,com.smartmove.events,VehicleStateChangedEvent,6,10,0,0,2,4,2,1,2,1
SmartMove Core Engine - Refactored,com.smartmove.events,LowBatteryWarningEvent,10,0,0,0,4,0,2,0,2,0
SmartMove Core Engine - Refactored,com.smartmove.events,RentalCreatedEvent,34,0,0,0,12,0,6,0,6,0
SmartMove Core Engine - Refactored,com.smartmove.events,CriticalTemperatureEvent,3,7,0,0,1,3,1,1,1,1
SmartMove Core Engine - Refactored,com.smartmove.events,HighTemperatureWarningEvent,10,0,0,0,4,0,2,0,2,0
SmartMove Core Engine - Refactored,com.smartmove.events,VehicleEvent,6,16,0,0,2,6,2,2,2,2
SmartMove Core Engine - Refactored,com.smartmove.events,EventBus,21,89,2,8,3,25,2,12,0,9
SmartMove Core Engine - Refactored,com.smartmove.events,CriticalBatteryEvent,3,7,0,0,1,3,1,1,1,1
SmartMove Core Engine - Refactored,com.smartmove.factory,VehicleFactory,10,52,0,4,2,9,2,4,2,1
SmartMove Core Engine - Refactored,com.smartmove.factory,TelemetryDataFactory,3,31,0,0,1,6,1,2,1,2
SmartMove Core Engine - Refactored,com.smartmove.factory,DomainEntityFactory,64,47,3,3,15,11,6,3,3,3
SmartMove Core Engine - Refactored,com.smartmove,Main,86,515,3,3,19,119,10,37,7,37
SmartMove Core Engine - Refactored,com.smartmove.audit,AuditLog,55,345,5,23,12,73,9,23,4,14
SmartMove Core Engine - Refactored,com.smartmove.audit,AuditWriteException,4,0,0,0,2,0,1,0,1,0
SmartMove Core Engine - Refactored,com.smartmove.audit,AuditEntry,66,243,15,13,7,54,13,16,2,13
SmartMove Core Engine - Refactored,com.smartmove.audit,AuditEventType,29,108,4,0,4,19,3,4,1,4
SmartMove Core Engine - Refactored,com.smartmove.domain,TelemetryData,45,68,7,5,3,17,7,8,2,7
SmartMove Core Engine - Refactored,com.smartmove.domain,City,29,16,5,1,6,6,6,2,3,2
SmartMove Core Engine - Refactored,com.smartmove.domain,User,20,24,1,1,2,9,2,3,1,3
SmartMove Core Engine - Refactored,com.smartmove.domain,GeoCoordinate,29,159,3,7,3,30,4,9,1,7
SmartMove Core Engine - Refactored,com.smartmove.domain,Zone,36,52,1,3,4,14,3,6,2,5
SmartMove Core Engine - Refactored,com.smartmove.domain,Payment,0,95,0,0,0,21,0,8,0,8
SmartMove Core Engine - Refactored,com.smartmove.domain,Rental,0,95,0,0,0,23,0,9,0,9
SmartMove Core Engine - Refactored,com.smartmove.persistence,CsvFileStorage,82,188,16,20,10,45,12,12,0,6
SmartMove Core Engine - Refactored,com.smartmove.persistence,RentalCsvStorage,2,99,2,6,0,16,2,5,0,3
SmartMove Core Engine - Refactored,com.smartmove.persistence,PaymentRepository,11,44,0,0,2,8,2,3,2,3
SmartMove Core Engine - Refactored,com.smartmove.persistence,UserRepository,4,51,0,0,1,9,1,4,1,4
SmartMove Core Engine - Refactored,com.smartmove.persistence,PaymentCsvStorage,2,100,1,1,0,16,1,3,0,3
SmartMove Core Engine - Refactored,com.smartmove.persistence,VehicleRepository.VehicleCsvStorage,4,173,2,6,1,29,2,6,0,3
SmartMove Core Engine - Refactored,com.smartmove.persistence,RentalRepository,5,71,2,2,1,12,3,6,1,6
SmartMove Core Engine - Refactored,com.smartmove.persistence,UserCsvStorage,2,32,1,1,0,5,1,3,0,3
SmartMove Core Engine - Refactored,com.smartmove.persistence,VehicleRepository,27,98,4,4,5,19,3,11,1,9
SmartMove Core Engine - Refactored,com.smartmove.controller,SmartMoveCentralController,335,692,11,15,70,150,34,36,27,30
SmartMove Core Engine - Refactored,com.smartmove.controller,SmartMoveCentralController.VehicleStateManagerImpl,6,12,0,0,2,3,1,2,1,2
SmartMove Core Engine - Refactored,com.smartmove.controller,SmartMoveException,0,4,0,0,0,2,0,1,0,1
